epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,250.225,0.57103,0.38145,1.74195,0.91847,0.88938,0.94194,0.84415,0.37729,0.40289,1.73255,0.0007526,0.0007526,0.0007526
65,254.005,0.53293,0.37596,1.655,0.93045,0.88018,0.94204,0.83835,0.3754,0.44028,1.70808,0.0007328,0.0007328,0.0007328
66,257.835,0.58001,0.39812,1.73998,0.94783,0.89474,0.9494,0.86001,0.40054,0.42748,1.85108,0.000713,0.000713,0.000713
67,261.632,0.57982,0.40257,1.72433,0.9645,0.86842,0.93119,0.84805,0.36832,0.42339,1.71738,0.0006932,0.0006932,0.0006932
68,265.448,0.53758,0.37096,1.67431,0.96454,0.85526,0.93102,0.83676,0.42305,0.43589,1.94439,0.0006734,0.0006734,0.0006734
69,269.246,0.55937,0.3905,1.70804,0.9234,0.86842,0.91712,0.83979,0.3845,0.43657,1.7597,0.0006536,0.0006536,0.0006536
70,273.044,0.55524,0.38159,1.77516,0.89286,0.89474,0.91928,0.83196,0.3911,0.45634,1.92736,0.0006338,0.0006338,0.0006338
71,276.824,0.55309,0.39138,1.70245,0.94881,0.86842,0.9381,0.82802,0.44132,0.4229,1.89846,0.000614,0.000614,0.000614
72,280.707,0.52946,0.35749,1.67132,0.89447,0.89219,0.93951,0.84521,0.38624,0.39855,1.77607,0.0005942,0.0005942,0.0005942
73,284.509,0.55912,0.37894,1.72096,0.93602,0.88158,0.94384,0.86038,0.37281,0.39406,1.80461,0.0005744,0.0005744,0.0005744
74,288.334,0.52676,0.35561,1.66677,0.95204,0.90789,0.94326,0.83216,0.41933,0.38924,1.88629,0.0005546,0.0005546,0.0005546
75,292.157,0.56724,0.38821,1.71621,0.92504,0.92105,0.94613,0.83121,0.37147,0.40767,1.75673,0.0005348,0.0005348,0.0005348
76,295.965,0.50954,0.34976,1.62895,0.89846,0.90789,0.94166,0.8222,0.38853,0.41586,1.75484,0.000515,0.000515,0.000515
77,299.806,0.50341,0.36071,1.59068,0.92874,0.89474,0.94047,0.84151,0.39341,0.41283,1.89329,0.0004952,0.0004952,0.0004952
78,303.653,0.52553,0.36384,1.65481,0.9628,0.86842,0.93447,0.8383,0.37775,0.43187,1.92283,0.0004754,0.0004754,0.0004754
79,307.418,0.5366,0.36891,1.64496,0.91421,0.90789,0.93743,0.85644,0.3732,0.37689,1.72683,0.0004556,0.0004556,0.0004556
80,311.254,0.53075,0.37178,1.68134,0.93305,0.91691,0.94644,0.84836,0.43162,0.37639,2.22629,0.0004358,0.0004358,0.0004358
81,315.05,0.52955,0.36803,1.67706,0.92038,0.91266,0.94748,0.85399,0.37436,0.35529,1.7759,0.000416,0.000416,0.000416
82,318.836,0.53199,0.36104,1.6979,0.92509,0.89474,0.93548,0.85556,0.3591,0.39301,1.79808,0.0003962,0.0003962,0.0003962
83,322.638,0.51849,0.35025,1.6403,0.94871,0.89474,0.93819,0.85543,0.35348,0.39069,1.72105,0.0003764,0.0003764,0.0003764
84,326.455,0.49973,0.34131,1.64906,0.95373,0.88158,0.936,0.8542,0.35389,0.37407,1.70926,0.0003566,0.0003566,0.0003566
85,330.223,0.51674,0.3565,1.62245,0.93146,0.89414,0.92977,0.86201,0.37311,0.3884,1.70136,0.0003368,0.0003368,0.0003368
86,334.07,0.50764,0.35506,1.66776,0.94325,0.87484,0.93466,0.85726,0.38278,0.39326,1.94462,0.000317,0.000317,0.000317
87,337.868,0.53384,0.36294,1.68547,0.94235,0.88158,0.9358,0.83779,0.399,0.40931,1.83325,0.0002972,0.0002972,0.0002972
88,341.666,0.52266,0.34846,1.63539,0.95408,0.88158,0.93726,0.84057,0.39622,0.39991,1.76384,0.0002774,0.0002774,0.0002774
89,345.49,0.48304,0.34119,1.62499,0.93491,0.85526,0.92216,0.84504,0.37317,0.3902,1.73139,0.0002576,0.0002576,0.0002576
90,349.299,0.51647,0.35767,1.70576,0.93848,0.85526,0.9297,0.85289,0.37686,0.39899,1.83948,0.0002378,0.0002378,0.0002378
91,377.456,0.31017,0.27363,1.26618,0.95517,0.86842,0.93916,0.84663,0.3867,0.39043,1.7523,0.000218,0.000218,0.000218
92,381.39,0.32745,0.25519,1.32898,0.95867,0.91568,0.94869,0.84992,0.40343,0.37369,1.77543,0.0001982,0.0001982,0.0001982
93,385.165,0.32271,0.23361,1.28962,0.96171,0.86842,0.94412,0.85783,0.40372,0.37951,1.75737,0.0001784,0.0001784,0.0001784
94,388.949,0.29505,0.23219,1.25644,0.91996,0.9074,0.94352,0.85298,0.38649,0.37778,1.75775,0.0001586,0.0001586,0.0001586
95,392.701,0.29702,0.22939,1.21235,0.90889,0.91885,0.94537,0.8488,0.41815,0.39406,1.86903,0.0001388,0.0001388,0.0001388
96,396.474,0.29676,0.21802,1.25223,0.9136,0.92105,0.95076,0.86491,0.37882,0.36809,1.6699,0.000119,0.000119,0.000119
97,400.263,0.28242,0.21531,1.2221,0.91821,0.93421,0.95308,0.85863,0.36393,0.34505,1.68303,9.92e-05,9.92e-05,9.92e-05
98,404.088,0.28308,0.21551,1.20933,0.9376,0.90789,0.95172,0.86361,0.37392,0.34815,1.67004,7.94e-05,7.94e-05,7.94e-05
99,407.834,0.28785,0.21952,1.23955,0.93057,0.92105,0.94822,0.85844,0.37309,0.34436,1.6791,5.96e-05,5.96e-05,5.96e-05
100,411.64,0.30318,0.22582,1.27367,0.92954,0.92105,0.94646,0.85186,0.38773,0.3636,1.71337,3.98e-05,3.98e-05,3.98e-05
