epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2369.57,0.39334,0.27976,1.44859,0.64641,0.90444,0.62529,0.57113,0.28664,75.5496,1.28912,0.0004754,0.0004754,0.0004754
79,2398.78,0.39949,0.28184,1.45192,0.64477,0.89474,0.6134,0.55887,0.31316,76.7218,1.37122,0.0004556,0.0004556,0.0004556
80,2427.96,0.38629,0.28009,1.44013,0.64527,0.91316,0.61449,0.56778,0.27403,76.9117,1.31639,0.0004358,0.0004358,0.0004358
81,2457.3,0.38721,0.27604,1.436,0.64621,0.90366,0.62092,0.57696,0.2819,78.3658,1.29499,0.000416,0.000416,0.000416
82,2486.71,0.38475,0.2758,1.433,0.64197,0.89737,0.61347,0.57583,0.28744,78.0729,1.28989,0.0003962,0.0003962,0.0003962
83,2516.04,0.38508,0.2748,1.43477,0.64752,0.90887,0.6183,0.58152,0.26745,76.8703,1.26724,0.0003764,0.0003764,0.0003764
84,2545.29,0.38308,0.27223,1.43869,0.64736,0.91842,0.62605,0.58582,0.27231,78.0137,1.31113,0.0003566,0.0003566,0.0003566
85,2574.57,0.38341,0.2707,1.42928,0.65258,0.90457,0.63262,0.5864,0.26391,78.3004,1.26249,0.0003368,0.0003368,0.0003368
86,2603.77,0.37507,0.26647,1.43126,0.64663,0.90533,0.63178,0.58258,0.27309,78.8208,1.24452,0.000317,0.000317,0.000317
87,2633.11,0.37766,0.27091,1.43088,0.64761,0.89737,0.63026,0.58178,0.27725,78.1589,1.26798,0.0002972,0.0002972,0.0002972
88,2662.39,0.37617,0.26945,1.43342,0.64076,0.89737,0.62531,0.57849,0.27586,78.2392,1.27458,0.0002774,0.0002774,0.0002774
89,2692.28,0.3764,0.26774,1.44025,0.6468,0.91316,0.62371,0.57571,0.27728,78.5875,1.27118,0.0002576,0.0002576,0.0002576
90,2723.2,0.37079,0.26469,1.41267,0.64452,0.90263,0.62622,0.57997,0.27842,79.797,1.27551,0.0002378,0.0002378,0.0002378
91,2776.28,0.21893,0.17995,1.07773,0.65384,0.91053,0.63607,0.58686,0.27656,78.8121,1.33691,0.000218,0.000218,0.000218
92,2805.58,0.21348,0.17197,1.06832,0.65176,0.90622,0.63466,0.5876,0.28278,79.591,1.33154,0.0001982,0.0001982,0.0001982
93,2835.2,0.20976,0.1689,1.07045,0.65019,0.91468,0.62937,0.58955,0.28123,80.272,1.33556,0.0001784,0.0001784,0.0001784
94,2864.72,0.20363,0.16598,1.04617,0.65742,0.90526,0.63267,0.58582,0.2742,79.8525,1.31098,0.0001586,0.0001586,0.0001586
95,2894.49,0.20203,0.16407,1.04997,0.65644,0.90507,0.62756,0.58162,0.28898,81.1539,1.33111,0.0001388,0.0001388,0.0001388
96,2923.93,0.19885,0.16268,1.04638,0.6559,0.90526,0.62588,0.5836,0.28967,81.6062,1.31707,0.000119,0.000119,0.000119
97,2953.54,0.19733,0.16172,1.04005,0.65775,0.90263,0.62595,0.58445,0.28811,83.0196,1.34061,9.92e-05,9.92e-05,9.92e-05
98,2983.06,0.19473,0.15946,1.04614,0.65691,0.90263,0.62741,0.58291,0.28718,82.9783,1.32862,7.94e-05,7.94e-05,7.94e-05
99,3012.61,0.19368,0.16017,1.0433,0.65228,0.91579,0.62782,0.58357,0.28798,83.422,1.34367,5.96e-05,5.96e-05,5.96e-05
100,3042,0.19542,0.1603,1.03846,0.65294,0.91316,0.6264,0.5857,0.28545,83.1368,1.34338,3.98e-05,3.98e-05,3.98e-05
