epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2082.85,0.39132,0.56246,0.27381,0.90151,0.97644,0.88746,0.94291,0.90749,0.97644,0.88746,0.94295,0.90213,0.33609,0.56955,0.34025,0.89208,0.0008912,0.0008912,0.0008912
58,2119.18,0.38385,0.55079,0.26526,0.90236,0.97541,0.90421,0.93737,0.90695,0.97541,0.90421,0.9377,0.90338,0.31484,0.50515,0.35041,0.86114,0.0008714,0.0008714,0.0008714
59,2155.51,0.38231,0.54964,0.26179,0.90087,0.95223,0.90857,0.94203,0.90416,0.95223,0.90857,0.94219,0.90653,0.35143,0.56938,0.37082,0.90652,0.0008516,0.0008516,0.0008516
60,2191.68,0.38523,0.5466,0.26379,0.89819,0.9586,0.89886,0.94365,0.90955,0.9586,0.89886,0.94378,0.90636,0.3125,0.56633,0.31862,0.86698,0.0008318,0.0008318,0.0008318
61,2227.89,0.38496,0.54665,0.26184,0.89841,0.9793,0.88319,0.94494,0.90864,0.9793,0.88319,0.94585,0.90551,0.32709,0.52795,0.3449,0.87763,0.000812,0.000812,0.000812
62,2264.06,0.37682,0.54437,0.25827,0.90038,0.97682,0.90055,0.94461,0.91035,0.97682,0.90055,0.94989,0.90838,0.31537,0.57279,0.31945,0.86595,0.0007922,0.0007922,0.0007922
63,2299.91,0.37847,0.54404,0.25709,0.89902,0.98359,0.91453,0.93942,0.90537,0.98359,0.91453,0.93974,0.90464,0.30687,0.55401,0.3151,0.86713,0.0007724,0.0007724,0.0007724
64,2335.74,0.37178,0.52371,0.25364,0.89651,0.97563,0.90171,0.94658,0.90714,0.97563,0.90171,0.95188,0.90922,0.31608,0.56361,0.32901,0.86065,0.0007526,0.0007526,0.0007526
65,2371.52,0.37296,0.53769,0.25261,0.89739,0.96687,0.90598,0.94613,0.90244,0.96687,0.90598,0.94911,0.90133,0.31671,0.56535,0.31105,0.86964,0.0007328,0.0007328,0.0007328
66,2407.3,0.37214,0.52961,0.25644,0.89681,0.98894,0.89196,0.94686,0.91051,0.98894,0.89196,0.9489,0.91003,0.31725,0.52958,0.32169,0.87342,0.000713,0.000713,0.000713
67,2443.03,0.36429,0.52718,0.24907,0.89546,0.98015,0.91452,0.94797,0.9136,0.98167,0.91562,0.95254,0.91258,0.31302,0.52672,0.31669,0.8754,0.0006932,0.0006932,0.0006932
68,2478.78,0.3649,0.5209,0.24755,0.89241,0.96088,0.90598,0.94759,0.91341,0.96088,0.90598,0.94804,0.91296,0.32436,0.58863,0.34292,0.8884,0.0006734,0.0006734,0.0006734
