epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1173.74,0.51781,0.78527,0.32747,0.96936,0.9182,0.87368,0.92446,0.82954,0.90401,0.86053,0.92039,0.82781,0.55375,0.76836,0.45246,1.1772,0.0011486,0.0011486,0.0011486
45,1200.26,0.50971,0.79696,0.32052,0.97435,0.92551,0.87895,0.91586,0.81163,0.92551,0.87895,0.91586,0.80721,0.60731,0.88304,0.43901,1.20096,0.0011288,0.0011288,0.0011288
46,1226.69,0.49897,0.76289,0.31538,0.96252,0.93542,0.87632,0.93808,0.82563,0.93542,0.87632,0.94293,0.8226,0.58624,0.75417,0.42948,1.2433,0.001109,0.001109,0.001109
47,1253.11,0.50528,0.77966,0.31299,0.9681,0.94937,0.87368,0.92541,0.8233,0.94002,0.86612,0.92496,0.81644,0.56547,0.764,0.39846,1.16005,0.0010892,0.0010892,0.0010892
48,1279.55,0.49916,0.75597,0.31208,0.96587,0.90559,0.89474,0.92999,0.83135,0.90825,0.89737,0.93674,0.82621,0.5532,0.77559,0.4511,1.16118,0.0010694,0.0010694,0.0010694
49,1305.96,0.50785,0.77878,0.31991,0.97202,0.94918,0.88475,0.94427,0.84802,0.94918,0.88475,0.94427,0.83565,0.53743,0.77437,0.42529,1.13822,0.0010496,0.0010496,0.0010496
50,1332.41,0.49374,0.76312,0.31282,0.96482,0.92025,0.87632,0.92809,0.83425,0.94019,0.85526,0.92378,0.828,0.521,0.78785,0.44927,1.11886,0.0010298,0.0010298,0.0010298
51,1358.93,0.49356,0.75778,0.31223,0.96139,0.91666,0.84211,0.92264,0.82717,0.92629,0.85,0.93913,0.82442,0.53207,0.79242,0.46868,1.1491,0.00101,0.00101,0.00101
52,1385.93,0.48625,0.7531,0.30787,0.96068,0.93027,0.87775,0.92521,0.83614,0.93592,0.88404,0.92743,0.8253,0.52113,0.7973,0.48069,1.13244,0.0009902,0.0009902,0.0009902
53,1412.47,0.47413,0.72103,0.30057,0.9515,0.92708,0.87895,0.91756,0.81884,0.92708,0.87895,0.91522,0.81265,0.54404,0.75306,0.46684,1.14618,0.0009704,0.0009704,0.0009704
54,1438.98,0.47627,0.74782,0.30399,0.95843,0.95386,0.87105,0.91638,0.82621,0.95386,0.87105,0.9208,0.82192,0.51209,0.84912,0.44335,1.12968,0.0009506,0.0009506,0.0009506
55,1465.45,0.4741,0.7396,0.30377,0.96336,0.92127,0.86228,0.92487,0.83532,0.92261,0.86053,0.92765,0.82471,0.52474,0.85677,0.46128,1.12734,0.0009308,0.0009308,0.0009308
56,1492.12,0.47534,0.72978,0.30298,0.95906,0.93102,0.90263,0.93653,0.84126,0.93243,0.90526,0.93822,0.83997,0.54926,0.79585,0.45169,1.17065,0.000911,0.000911,0.000911
57,1519.16,0.47121,0.72869,0.30201,0.95202,0.93369,0.87632,0.91162,0.82358,0.93369,0.87632,0.91162,0.81775,0.53361,0.79054,0.49901,1.12628,0.0008912,0.0008912,0.0008912
58,1545.65,0.47795,0.73226,0.29537,0.95763,0.95043,0.85784,0.90443,0.8238,0.94523,0.86299,0.90462,0.81765,0.53982,0.80526,0.46477,1.13851,0.0008714,0.0008714,0.0008714
59,1572.24,0.46626,0.72803,0.29193,0.9482,0.92894,0.86842,0.89478,0.80747,0.93457,0.87368,0.89984,0.80838,0.561,0.88677,0.47345,1.17735,0.0008516,0.0008516,0.0008516
60,1598.79,0.44793,0.6876,0.28299,0.94584,0.93194,0.81316,0.91707,0.81518,0.93194,0.81316,0.9187,0.81447,0.55331,0.93639,0.48845,1.16254,0.0008318,0.0008318,0.0008318
61,1625.42,0.45963,0.70698,0.29186,0.95115,0.91016,0.88158,0.94108,0.85058,0.91016,0.88158,0.94108,0.85532,0.50109,0.81213,0.43123,1.10525,0.000812,0.000812,0.000812
62,1651.92,0.45691,0.71038,0.28881,0.94932,0.94065,0.86842,0.92181,0.81327,0.94351,0.87105,0.92232,0.81119,0.59102,0.85728,0.47884,1.1962,0.0007922,0.0007922,0.0007922
63,1678.52,0.44925,0.68834,0.27752,0.94384,0.92544,0.88421,0.91452,0.82351,0.92544,0.88421,0.91455,0.8183,0.53425,0.82907,0.49685,1.13099,0.0007724,0.0007724,0.0007724
64,1705.11,0.44883,0.70335,0.28499,0.94415,0.96409,0.8479,0.91099,0.83596,0.96409,0.8479,0.91256,0.81911,0.51724,0.88034,0.42761,1.13104,0.0007526,0.0007526,0.0007526
65,1731.93,0.44375,0.67962,0.28093,0.93934,0.92954,0.88421,0.91779,0.82027,0.92954,0.88421,0.91967,0.80947,0.55722,0.91236,0.44016,1.1771,0.0007328,0.0007328,0.0007328
66,1759.99,0.44663,0.679,0.28115,0.94548,0.95511,0.88421,0.93338,0.84938,0.95172,0.88158,0.93112,0.84552,0.50638,0.79147,0.41251,1.11132,0.000713,0.000713,0.000713
67,1786.53,0.43906,0.67661,0.27695,0.94125,0.94219,0.86842,0.9149,0.82312,0.93927,0.86579,0.91413,0.81765,0.56268,0.90633,0.43624,1.17319,0.0006932,0.0006932,0.0006932
68,1812.99,0.4327,0.67185,0.2712,0.93346,0.94932,0.87632,0.9239,0.83374,0.94932,0.87632,0.9239,0.8226,0.52098,0.87424,0.43626,1.13545,0.0006734,0.0006734,0.0006734
69,1839.52,0.43098,0.66972,0.2746,0.9403,0.97148,0.88421,0.93384,0.84259,0.97148,0.88421,0.9356,0.83393,0.54104,0.83542,0.41031,1.14375,0.0006536,0.0006536,0.0006536
70,1865.95,0.43337,0.67383,0.27381,0.93899,0.94872,0.87634,0.9328,0.83487,0.94587,0.87371,0.93076,0.82966,0.51005,0.86851,0.42034,1.11145,0.0006338,0.0006338,0.0006338
71,1892.48,0.42145,0.6572,0.26446,0.93473,0.96285,0.86842,0.91919,0.83126,0.96285,0.86842,0.91756,0.82869,0.52435,0.85494,0.41244,1.16015,0.000614,0.000614,0.000614
72,1918.88,0.42613,0.65237,0.27086,0.93416,0.94315,0.87323,0.90347,0.81892,0.94315,0.87323,0.90347,0.81656,0.52354,0.85527,0.43087,1.1463,0.0005942,0.0005942,0.0005942
73,1945.52,0.41951,0.65135,0.26563,0.9356,0.96109,0.86316,0.91324,0.81613,0.96109,0.86316,0.91324,0.81146,0.54323,0.84688,0.44534,1.16757,0.0005744,0.0005744,0.0005744
74,1972,0.41092,0.64694,0.26045,0.92834,0.95606,0.86316,0.92966,0.83192,0.95606,0.86316,0.93147,0.82888,0.53028,0.85476,0.39939,1.13653,0.0005546,0.0005546,0.0005546
75,1998.53,0.4178,0.63836,0.2642,0.93063,0.95578,0.87895,0.9218,0.83671,0.95578,0.87895,0.92496,0.82836,0.53563,0.87289,0.41823,1.15364,0.0005348,0.0005348,0.0005348
76,2024.88,0.41549,0.63909,0.2602,0.93189,0.9513,0.87632,0.91534,0.82689,0.95153,0.87834,0.91853,0.8184,0.53284,0.89328,0.42435,1.15557,0.000515,0.000515,0.000515
77,2051.34,0.40843,0.63442,0.25649,0.92592,0.96629,0.87105,0.92254,0.83378,0.96629,0.87105,0.92434,0.83125,0.53574,0.84191,0.42159,1.14127,0.0004952,0.0004952,0.0004952
78,2077.78,0.41341,0.64625,0.26189,0.93181,0.96156,0.88421,0.92481,0.83534,0.9628,0.88546,0.92481,0.83383,0.51968,0.84193,0.39938,1.12522,0.0004754,0.0004754,0.0004754
